,CountryLive,n_survey_takers
0,United States of America,5791
1,India,1400
2,United Kingdom,757
3,Canada,616
4,Brazil,364
5,Germany,324
6,Poland,265
7,Russia,263
8,Australia,259
9,France,228
10,Spain,217
11,Nigeria,214
12,Ukraine,202
13,Romania,171
14,Italy,164
15,Mexico,155
16,"Netherlands (Holland, Europe)",142
17,Philippines,135
18,South Africa,126
19,Turkey,120
20,Greece,116
21,Serbia,115
22,Argentina,113
23,Pakistan,109
24,Kenya,92
25,Indonesia,91
26,China,90
27,Egypt,87
28,Sweden,80
29,Hungary,77
30,Ireland,76
31,Singapore,75
32,Israel,74
33,Vietnam,72
34,Czech Republic,72
35,Bangladesh,71
36,New Zealand,71
37,Portugal,68
38,Norway,65
39,Malaysia,65
40,Croatia,62
41,Colombia,60
42,Denmark,58
43,Japan,58
44,Venezuela,56
45,Finland,55
46,Bulgaria,48
47,Great Britain,45
48,Belgium,45
49,Lithuania,44
50,Austria,43
51,Switzerland,42
52,Nepal,41
53,Bosnia & Herzegovina,40
54,United Arab Emirates,38
55,Belarus,38
56,Morocco,36
57,Dominican Republic,32
58,Chile,32
59,Kazakhstan,31
60,Thailand,31
61,Taiwan,31
62,Macedonia,30
63,Ghana,29
64,Korea South,29
65,Slovenia,28
66,Hong Kong,25
67,Estonia,24
68,Latvia,24
69,Saudi Arabia,24
70,Republic of Serbia,24
71,Algeria,21
72,Slovakia,20
73,Uruguay,20
74,Peru,19
75,Iran,19
76,Albania,17
77,Tunisia,16
78,Sri Lanka,16
79,Puerto Rico,15
80,Jamaica,15
81,Virgin Islands (USA),15
82,Luxembourg,14
83,Moldova,13
84,Costa Rica,13
85,Georgia,11
86,Zimbabwe,11
87,Ecuador,10
88,Azerbaijan,10
89,Cambodia,9
90,Cyprus,8
91,Uganda,8
92,Panama,7
93,Paraguay,7
94,Senegal,7
95,Cameroon,7
96,Myanmar,7
97,Uzbekistan,6
98,Afghanistan,6
99,Malta,6
100,Guatemala,6
101,Bolivia,6
102,Jordan,6
103,Palestine,5
104,Niger,5
105,Mauritius,5
106,Republic of Montenegro,5
107,Qatar,5
108,Trinidad & Tobago,5
109,Cote D'Ivoire,5
110,Iceland,5
111,Iraq,5
112,El Salvador,5
113,Zambia,5
114,Angola,5
115,Lebanon,5
116,Mozambique,4
117,Maldives,4
118,Bahrain,4
119,Nicaragua,4
120,Netherland Antilles,4
121,Papua New Guinea,3
122,Swaziland,3
123,Gambia,3
124,Belize,3
125,Dominica,3
126,Somalia,3
127,Cuba,3
128,Guam,3
129,Kyrgyzstan,3
130,Haiti,3
131,Honduras,3
132,Turkmenistan,2
133,Benin,2
134,Cayman Islands,2
135,Sudan,2
136,Tanzania,2
137,Brunei,2
138,Ethiopia,2
139,Armenia,2
140,Yemen,2
141,Nambia,2
142,Malawi,2
143,Mongolia,2
144,Barbados,1
145,Bermuda,1
146,Aruba,1
147,Vanuatu,1
148,Anguilla,1
149,Virgin Islands (British),1
150,Botswana,1
151,British Indian Ocean Ter,1
152,Martinique,1
153,Gabon,1
154,Tajikistan,1
155,Burundi,1
156,Madagascar,1
157,Liberia,1
158,New Caledonia,1
159,Korea North,1
160,Isle of Man,1
161,Hawaii,1
162,Guadeloupe,1
163,Greenland,1
164,Gibraltar,1
165,Rwanda,1
166,Samoa,1
167,Sierra Leone,1
168,Curacao,1
169,Channel Islands,1
170,Canary Islands,1
171,Kuwait,1
